Record number,Origin of data,Subject number,Ethnicity,Gender,Age group,Body location,L,a,b
1,1,1,CA,F,,6,64.6067,12.4109,18.2041
2,1,1,CA,F,,9,63.6718,12.1603,19.2541
3,1,1,CA,F,,2,60.8379,13.0638,19.1599
4,1,1,CA,F,,5,64.1388,8.9852,13.8640
5,1,1,CA,F,,4,61.2104,14.4312,17.8397
6,1,1,CA,F,,1,64.2563,7.0340,15.8908
7,1,1,CA,F,,11,68.1978,5.9452,11.4325
8,1,1,CA,F,,10,58.0991,10.6389,19.6142
9,1,1,CA,F,,7,65.0440,5.5979,15.3409
10,1,2,CA,F,,6,58.7929,11.5084,16.4750
11,1,2,CA,F,,9,59.7817,13.0623,14.7972
12,1,2,CA,F,,2,60.5857,10.8318,16.4865
13,1,2,CA,F,,5,61.8568,9.5103,10.9697
14,1,2,CA,F,,4,59.2025,14.1741,14.8221
15,1,2,CA,F,,1,62.1118,6.5236,14.7893
16,1,2,CA,F,,11,66.8067,4.0038,12.7801
17,1,2,CA,F,,10,58.0775,6.8696,14.7920
18,1,2,CA,F,,7,63.3242,4.9286,13.3011
19,1,3,CA,M,,6,55.9476,18.9034,12.2292
20,1,3,CA,M,,9,62.2555,15.7454,14.6657
21,1,3,CA,M,,2,65.1398,10.3942,11.1742
22,1,3,CA,M,,5,64.2875,15.7808,10.8832
23,1,3,CA,M,,4,56.3783,20.0839,11.2498
24,1,3,CA,M,,1,63.3195,8.6670,9.2733
25,1,3,CA,M,,11,66.1977,7.0739,11.9311
26,1,3,CA,M,,10,65.7082,5.9616,9.1195
27,1,3,CA,M,,7,66.8244,7.3027,8.8051
28,1,4,CA,M,,6,54.8003,10.8493,14.6548
29,1,4,CA,M,,9,57.9302,13.6736,16.8994
30,1,4,CA,M,,2,57.2299,11.9445,14.4572
31,1,4,CA,M,,5,60.5012,11.6312,14.5665
32,1,4,CA,M,,4,54.1051,11.9200,12.3243
33,1,4,CA,M,,1,58.5416,9.5654,19.6055
34,1,4,CA,M,,11,58.7418,7.8934,14.2892
35,1,4,CA,M,,10,57.5923,8.4823,18.5857
36,1,4,CA,M,,7,63.1923,5.4404,14.3532
37,1,5,CA,M,,6,61.9583,10.5391,14.3654
38,1,5,CA,M,,9,60.0639,12.9765,14.1636
